year,doy,rad (W/m^2),Tavg (°C),Tmax (°C),Tmin (°C),rainfall (mm),date (:Date),GDD (K),cGDD (K)
2002,135,295.8,14.9,22.1,8.6,0,2002-05-15,6.9,6.9
2002,136,297.9,18.0,27.7,4.9,0,2002-05-16,10.0,10.0
2002,137,224.2,21.3,27.3,14.3,3,2002-05-17,13.3,13.3
2002,138,95.8,12.5,17.7,8.0,11,2002-05-18,4.5,4.5
2002,139,314.9,9.6,15.6,4.0,0,2002-05-19,1.6,1.6
2002,140,284.6,10.1,15.6,4.3,0,2002-05-20,2.1,2.1
2002,141,275.0,8.8,14.5,2.6,0,2002-05-21,0.8,0.8
2002,142,320.0,11.6,20.1,1.4,0,2002-05-22,3.6,3.6
2002,143,318.5,14.7,24.0,3.0,0,2002-05-23,6.7,6.7
2002,144,295.7,20.1,29.5,7.1,0,2002-05-24,12.1,12.1
2002,145,226.1,20.3,24.6,16.1,0,2002-05-25,12.3,12.3
2002,146,183.2,20.2,27.8,15.5,0,2002-05-26,12.2,12.2
2002,147,203.4,21.6,27.7,17.2,5,2002-05-27,13.6,13.6
2002,148,205.6,21.4,28.0,15.9,0,2002-05-28,13.4,13.4
2002,149,209.8,21.8,27.7,15.3,0,2002-05-29,13.8,13.8
2002,150,255.4,21.7,29.0,13.8,0,2002-05-30,13.7,13.7
2002,151,274.0,25.8,32.3,17.9,0,2002-05-31,17.8,17.8
2002,152,299.5,25.9,31.9,17.9,0,2002-06-01,17.9,17.9
2002,153,294.5,23.1,29.1,15.4,0,2002-06-02,15.1,15.1
2002,154,303.9,20.2,26.1,11.4,0,2002-06-03,12.2,12.2
2002,155,268.1,22.8,28.7,16.8,0,2002-06-04,14.8,14.8
2002,156,212.9,25.8,32.8,19.0,1,2002-06-05,17.8,17.8
2002,157,192.4,23.5,32.4,17.8,6,2002-06-06,15.5,15.5
2002,158,206.1,18.4,22.4,12.6,0,2002-06-07,10.4,10.4
2002,159,242.1,17.5,24.3,11.3,0,2002-06-08,9.5,9.5
2002,160,291.3,20.9,30.1,11.2,0,2002-06-09,12.9,12.9
2002,161,282.2,24.9,32.7,16.1,0,2002-06-10,16.9,16.9
2002,162,259.6,26.9,34.3,18.8,0,2002-06-11,18.9,18.9
2002,163,236.1,25.9,32.8,18.4,0,2002-06-12,17.9,17.9
2002,164,54.0,20.7,26.0,17.7,9,2002-06-13,12.7,12.7
2002,165,50.0,18.4,20.6,16.7,3,2002-06-14,10.4,10.4
2002,166,245.2,19.9,25.4,14.5,4,2002-06-15,11.9,11.9
2002,167,237.5,19.8,26.8,12.0,0,2002-06-16,11.8,11.8
